Scan performed on 11-28-2016 08:36:27
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/safebrowsing/goog-badbinurl-shavar.pset was changed!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/index.log was changed!!
WARNING: /home/datboi/.mozilla/firefox/m5ov45ka.default/xulstore.json was changed!!
WARNING: /home/datboi/.mozilla/firefox/m5ov45ka.default/compatibility.ini was changed!!
WARNING: /home/datboi/.local/share/zeitgeist/fts.index/record.baseA was changed!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/8E4CED8A45055BCAE4377F85CCB1263B6B9A3C90 was changed!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/996E251B0D179792066F30DEB82476DF9D5E8B15 was changed!!
WARNING: /home/datboi/.mozilla/firefox/m5ov45ka.default/webappsstore.sqlite was changed!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/F18D85F52EBBBA2AB081EF739ED0D6E8A76D497C was changed!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/D64A02BA1909A068BA24657DA5355AB6B04DE906 was changed!!
WARNING: /home/datboi/.local/share/zeitgeist/fts.index/postlist.DB was changed!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/E868C88B656CF70803373DF2B3A763BD283F6396 was changed!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/017034FB997140E92D6E2996A8CC5CC5A65B58C3 was changed!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/directoryLinks.json was changed!!
WARNING: /home/datboi/.local/share/zeitgeist/activity.sqlite-shm was changed!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/929BCF811537CE5A1B05BC367E7D5FCD9D1512C2 was changed!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/BF13DDDC114B55CF8532A4CD90403A99233AEC0E was changed!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/safebrowsing/goog-badbinurl-shavar.sbstore was changed!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/679C6926210C1B1D1E13137CE409F0F303AA000E was changed!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/safebrowsing/goog-unwanted-shavar.pset was changed!!
